SeqTab_Tabela;SeqTab_Campo;SeqTab_Numero;Emp_codigo
MDFeValePedagio;MDFeValePed_codigo;1;1
MetaVenda;MetaVenda_Codigo;2;1
Modo;Mdo_codigo;88;1
Moeda;Moeda_Codigo;3;1
Motivo_devolucao;Mod_codigo;14;1
Motivo_devolucao_tipo;MotDevTp_codigo;1;1
Municipio;mun_codigo;572;1
Nacionalidade;Nac_codigo;2;1
NFCONFIG;NF_CODIGO;2;1
NFEInutilizarNum;NFEInuNum_Codigo;1;1
NFeObservacao;NFeObs_Codigo;1;1
NFSe;NFSe_Codigo;1;1
NFSe;NFSe_Numero;1;1
NFSeItens;NFSeItem_codigo;1;1
Nota_entrada;Nen_codigo;6347;1
nota_entrada_det;Ned_codigo;42754;1
Nota_Entrada_Dif;NenDf_codigo;757;1
NotaFiscal;NTF_Codigo;3009;1
NotaFiscal;NumeroAtual;2847;1
NotaFiscal;NumeroAtual;661;2
NotaFiscal;NumeroAtual;2;3
NotaFiscalCCe;NTFCCe_codigo;122;1
NotaFiscalComplementar;NTFCompl_codigo;254;1
NotaFiscalNFCE;NumeroAtual;1;1
NotaFiscalNFCE;NumeroAtual100;50000;1
NotaFiscalProdutos;NTFPro_Codigo;27349;1
NotaFiscalTroca;NTFT_Codigo;1;1
NTFCCe_codigo;NotaFiscalCCe;1;1
Obras;Obr_Codigo;9805;1
observacoes;obs_seq;5148;1
ordem_compra;Ocp_codigo;5682;1
ordem_compra_det;Ocd_Sequencia;30983;1
ordem_compra_Pag;Ocpp_Sequencia;1;1
OrdemServico;OrdServ_Codigo;1;1
OrdemServico;OrdServ_CodigoPre;1;1
OrdemServicoProduto;OrdServProd_codigo;1;1
OrdemServicoSituacao;OrdServSit_codigo;6;1
OrgaoRegistro;OrgReg_Codigo;4;1
Paises;Paises_Codigo;3;1
Pasta;Pasta_codigo;873;1
PDVCaixa;PdvCaixa_codigo;1;1
PDVSangria;PDVSangria_codigo;1;1
PDVSuprimento;PDVSupri_codigo;1;1
pedido_compra;Pcp_codigo;8309;1
Plano_Contas;Pco_codigo;196;1
Preco_Produto;Pre_codigo;115606;1
Produtos;CodigoBarra;1;1
produtos;pro_codnosso;1;1
produtos;Pro_CodReduzido;110266;1
ProdutosCaracteristicas;ProdCaract_codigo;1;1
ProdutosFornecedores;ProdFor_Codigo;57054;1
ProdutosLocEstoque;ProdLocEst_Codigo;1;1
ProdutosPromPrioritario;ProdProPrio_codigo;1;1
ProdutosPromPrioritarioDet;ProdProPrioDet_codigo;1;1
ProdutosRelacionados;ProdRel_Codigo;223;1
ProdutosRelacionadosCadProdutos;ProdRelCadProd_codigo;223;1
ProdutosRelacionadosCadProdutosAcab;ProdRelCadProdAcab_codigo;1;1
ProdutosRelacionadosDet;ProdRelDet_Codigo;243;1
ProdutosServiços;ProdServ_codigo;1;1
Profissão;COD_ATIVID;152;1
Promocao;Prom_Codigo;1;1
PromocaoEstoque;PromEst_Codigo;4;1
PromocaoProdutos;PromProd_codigo;4;1
QuadroCargas;QCargas_Codigo;1;1
Rateio;Rateio_Codigo;1;1
Regiao;Regiao_Codigo;11;1
RequisicaoEstoq;ReqEst_Codigo;3;1
Reserva_tecnica;Ret_codigo;1820;1
Saida_complementacao;Scp_codigo;1;1
Saida_complementacao;Scp_codigo_pre;1;1
Servicos;sev_cod;27;1
Setor;Setor_codigo;8;1
SisOpcoesEspecial;SisOpEsp_Codigo;3;1
SisPermissaoEspecial;SisPerEsp_Codigo;272;1
SisSeqTabela;ArqECF;1;1
SisSeqTabela;duplicata;2;1
SisSeqTabela;ECFDAV;1;1
SisSeqTabela;eventocce;1;1
SisSeqTabela;LoteCCe;1;1
SisSeqTabela;LotePagCtPag;1;1
SisSeqTabela;LotePagCtRec;2;1
SisSeqTabela;NumeroArquivoRemessa;4538;1
SisSeqTabela;recibo;41;1
SisSeqTabela;recibogsv;1;1
SisSeqTabela;recibonfe;8407;1
SisSeqTabela;recibort;1;1
SisUsuariosGrid;UsuGrid_Codigo;55;1
SisUsuariosGrupo;SisUsGrupo_codigo;1;1
SisUsuariosGrupo;UsuGrid_Codigo;1;1
TabelaImposto;TbImp_codigo;24;1
tamanho;Tam_codigo;1;1
Tipo_Relatorio;TpRel_codigo;1;1
TipoContaFinanceira;Tcf_codigo;4;1
TipoLinha;TpLinha_Codigo;1;1
TipoMotivo;TpMot_codigo;1;1
TiposContatos;TpCont_codigo;1;1
TransferenciaEstoque;TransfEst_codigo;90;1
TransfIndicacao;TransfInd_codigo;1;1
TransfIndicacaoDet;TransfIndDet_codigo;1;1
Transportadora;Tra_codigo;39;1
Venda;Ven_codigo;6202;1
Venda;Ven_CodigoPre;12016;1
VendaDataEntrega;VenDtEnt_codigo;1;1
VendaDataRetorno;VenDtRet_codigo;1;1
VendaEstoque;VenEst_Codigo;1;1
VendaEstoqueVendido;VenEstVend_Codigo;20341;1
VendaProduto;VenPro_codigo;721031;1
VendaServico;VenSer_Codigo;5117;1
Whatsapp_Enviado;WsEnv_codigo;3;1
