Cus_codigo;for_codigo;Cus_Nome;Cus_desconto1;Cus_desconto2;Cus_desconto3;Cus_desconto4;Cus_IPI;Cus_Frete;Cus_Icms;Cus_Embalagens;Cus_Financeira;Cus_Simples;Cus_outros;Cus_obs;Cus_MargValAgreg;Cus_IcmsDestino;Cus_TributacaoICMS;Cus_situacao;Cus_Importacao;Cus_Cambio;Cus_TpVlNFo;Cus_NFoICMS;Cus_NFoOutros;Cus_NFoIPI;Cus_NFoSimples;Cus_NFoEmbalagem;Cus_NFoFinanceiro;Cus_NFoFrete;Cus_NFoDesconto;Cus_ICMSDifAlqIPI;Cus_PorcCartao;Cus_STEmbalagem;Cus_CreditoICMS;Cus_CreditoPIS;Cus_CreditoCOFINS;Cus_CustoFixo;Cus_Desconto;Cus_FreteemCompra;Cus_ICMSValorCompra
48;12;WAGNER ARCHELA;;;;;0,0000;;20,0000;;;;;MARGEM VALOR - 2,5  IPI - ISENTO   ST - 20%  I;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
49;14;HUNTER VENTILADORES;;;;;15,0000;;0,0000;;;;;Margem - 2,10  IPI - 15%   ST - 0;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
50;14;HUNTER ACESSÓRIOS;;;;;10,0000;;0,0000;;;;;Margem 2,10  IPI 10%    ST 0;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
51;14;HUNTER KIT DE ILUMINAÇÃO;;;;;15,0000;;0,0000;;;;;Margem 2,10  IPI 15 %    ST 0%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
52;15;MANTRA  LU,PN,EB,AD,SP,PF;;;;;0,0000;;0,0000;;;;;Margem - 2,60  IPI- 0%   ST- 0;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
53;15;MANTRA  AJ,TR,VD,CP,CL;;;;;0,0000;;0,0000;;;;;Margem - 2,60  IPI- 0% ST- 0%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
54;13;ABALUX;0,0000;;;;15,0000;0,0000;18,3500;0,0000;0,0000;0,0000;0,0000;Margem- 2,10    IPI- 15%   ST- 18,35%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;False;;False;;;;;;False;False
55;16;VOLARE;;;;;;;10,8000;;;;;Margem - 2,40  IPI- Isento ST-10,80%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
56;17;DIMLUX;;;;;15,0000;;0,0000;;;;;MARGEM - 2,50  IPI - 15%  ST -  isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
57;18;DIREÇÃO DA LUZ;;;;;15,0000;;8,6500;;;;;Margem - 2,40  ST - 8,65% - IPI 15%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
58;19;AVER;;;;;9,7500;;0,0000;;;;;Margem - 2,5  ST ISENTO + 9,75% IPI;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
61;20;BRILIA LAMPADAS;;;;;10,0000;;29,2400;;;;0,0000;Margem - 2,10  IPI 10%    ST 29,24%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
67;20;BRILIA PEÇAS;;;;;15,0000;;29,1900;;;;0,0000;margem 2,50  IPI 15% - ST29,19%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
69;20;BRILIA FITAS;;;;;15,0000;;29,9000;;;;0,0000;Margem - 2,1  IPI - 15%   ST - 29,90%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;True;;False;;;;;;False;False
70;21;QUARTO CRESCENTE;;;;;0,0000;;8,4600;;;;0,0000;Margem - 2,20  IPI - isento   ST - 8,46%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
71;22;BELLA;;;;;0,0000;;0,0000;;;;;Margem - 2,50  IPI - isento  ST- isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
72;24;WSG - DESSINE;;;;;;;0,0000;;;;;Margem - 2,5  IPI - Isento St- Isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
73;25;LED PLUS;;;;;0,0000;;0,0000;;;;;Margem - 2,5  IPI -  isento  ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
74;23;CVILLE;8,0000;;;;0,0000;;8,7600;;;;;Margem - 2,70  IPI - isento ST - 8,76 %    Desconto 8%;0;0;;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
75;26;INTRAL REATORES;0,0000;;;;5,0000;;23,2800;;;;0,0000;Margem - 2,20 -   IPI - 5%   ST - 23,28%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
76;27;TREELUX BRAZIL A;;;;;0,0000;;21,7400;;;;;Margem - 2,5  IPI - isento ST - 21,74%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
77;27;TREELUX BRAZIL B;;;;;0,0000;;23,0000;;;;0,0000;Margem - 2,5  IPI - isento ST - 23%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
78;27;TREELUX BRAZIL C;;;;;0,0000;;23,2900;;;;;Margem - 2,5  IPI - isento  ST - 23,29%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
79;28;UPZ;;;;;0,0000;;0,0000;;;;;Margem - 2,5  IPI - Isento St- Isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
