for_codigo;Ipr_descricao;Ipr_custo;Ipr_produto;Ipr_vl_Tabela;Ipr_vl_Custo;Ipr_vl_com_inter;Ipr_vl_com_exter;Ipr_vl_venda;Ipr_desconto;Ipr_Lucro;Ipr_vl_Lucro;Ipr_Indice;Ipr_CodigoSigla;Ipr_situacao;Ipr_IndiceVlCusto;Ipr_VlLucroCusto;Ipr_CustoTotal
591;VIA HF MARGEM 6;332;LUM REDONDA DE EMBUTIR SEM BORDA PARA LAMPADA;28,0400;28,0400;0,0000;0,0000;168,2400;0,0000;83,3333;140,2000;6,0000;331;A;6;500;28,04
606;NATURAL LIGTH;321;GIRASSOL 22 X 80 CM;2390,0000;2533,4000;0,0000;0,0000;6118,4000;0,0000;58,5938;3585,0000;2,5600;320;A;2,42;;
631;ATTIMO - SP;397;PENDENTE PINHA PRETO (E27);230,9200;264,3100;0,0000;0,0000;772,3400;0,0000;65,7780;508,0300;3,3400;396;A;2,92;192,2099;264,31
631;ATTIMO ILUMINACAO;322;PENDENTE PINHA PRETO (E27);230,9200;264,3100;0,0000;0,0000;610,6900;0,0000;56,7194;346,3800;2,6400;321;A;2,31;131,0507;264,31
634;ALPERTONE;323;SKY68 - MANG NEON LEDLINE FLEX DE SILICONE;1568,5000;2228,5300;0,0000;0,0000;3953,8800;0,0000;43,6369;1725,3500;2,5200;322;A;1,77;;
634;ALPERTONE - SP;431;FITA;28,0000;39,7800;0,0000;0,0000;76,4600;0,0000;47,9728;36,6800;2,7300;431;A;1,92;92,2071;39,78
642;3D LED;324;FONTE 12V 2.0A 24W SLIM;26,9000;29,4700;0,0000;0,0000;64,4400;0,0000;54,2675;34,9700;2,4000;323;A;2,19;118,663;29,47
642;3D LED SP;349;FONTE 12V 2.0A 24W SLIM;26,9000;29,4700;0,0000;0,0000;69,8200;0,0000;57,7915;40,3500;2,6000;347;A;2,37;136,9189;29,47
659;MADELUSTRE PÇS;325;PENDENTE NUTS DIAM.52 CASTANHO;2255,0000;1563,5200;0,0000;0,0000;3236,7300;0,0000;51,6945;1673,2100;1,4400;324;A;2,07;107,0156;1563,52
661;ABAJÚ;326;LINHA LIMA DIÂ =30 CM , AL =20 CM;899,0000;1195,6700;0,0000;0,0000;2407,0700;0,0000;50,3300;1211,4000;2,6800;325;A;2,1;109,5893;1148,47
